	X		Y		Z		W			P		R
	478.262		-31.971		155.712		-166.829			-10.260		-50.665
	462.794		18.082		179.202		-179.463			-24.307		-31.550
	478.819		-39.907		176.948		-174.876			-12.315		-34.281
	474.212		-122.272		176.940		-161.309			-2.778		-36.076
	447.137		1.568		110.115		-168.289			-22.227		-48.618
	592.290		1.566		192.471		173.806			-1.089		-45.742
	602.661		-121.125		206.860		-170.610			14.437		-43.901
	525.477		108.700		123.908		168.746			-24.285		-46.857
	393.952		119.647		4.670		-154.150			-42.623		-69.643
	487.456		-43.937		167.671		-176.716			-16.966		-23.338
	421.215		-39.895		126.194		-172.313			-26.115		-25.076
	476.125		-42.200		157.866		-163.687			-4.632		-59.672
	593.054		-43.923		198.177		178.402			5.405		-59.712
	485.342		-104.401		148.631		-160.249			2.832		-53.462
	423.707		-52.564		104.273		-149.588			-5.805		-64.804
	420.823		50.548		96.202		-153.280			-15.821		-74.569
	453.077		92.608		85.825		-166.413			-27.568		-68.621
	526.805		96.063		116.920		178.033			-23.558		-61.580
	565.206		3.901		178.541		-178.602			-4.147		-64.795
	458.066		54.029		118.629		-177.363			-24.984		-47.672
	398.155		66.702		62.555		-163.627			-37.461		-55.309
	568.078		-140.082		177.163		-167.300			11.718		-42.428
	455.755		-82.491		137.989		-161.215			-7.497		-44.147
	410.248		-42.744		67.710		-152.828			-20.679		-51.241
	606.475		-64.631		184.051		-178.305			10.191		-49.496
	532.748		-54.831		162.731		-170.222			1.696		-48.769
	489.932		-50.796		142.564		-163.284			-4.375		-48.930
	475.530		144.469		107.421		163.075			-35.041		-36.862
	362.055		-47.906		26.777		-140.642			-16.949		-62.952
	401.217		-39.848		80.912		-147.497			-13.434		-61.154
	401.214		-115.883		94.729		-146.428			1.301		-61.989
